RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName
97984,860,95116,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County
72715,861,33612,zip,FL,FL,Tampa,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County
99508,862,98023,zip,WA,WA,Federal Way,"Seattle-Tacoma-Bellevue, WA",King County
95048,863,85710,zip,AZ,AZ,Tucson,"Tucson, AZ",Pima County
66035,864,19711,zip,DE,DE,Newark,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Castle County
95799,865,89103,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County
60971,866,08081,zip,NJ,NJ,Sicklerville,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County
69335,867,27405,zip,NC,NC,Greensboro,"Greensboro-High Point, NC",Guilford County
84615,867,60613,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County
90695,869,75104,zip,TX,TX,Cedar Hill,"Dallas-Fort Worth-Arlington, TX",Dallas County
95300,870,87105,zip,NM,NM,Albuquerque,"Albuquerque, NM",Bernalillo County
61630,872,10016,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County
70688,873,29720,zip,SC,SC,Lancaster,"Charlotte-Concord-Gastonia, NC-SC",Lancaster County
66133,874,20009,zip,DC,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia
98312,875,95616,zip,CA,CA,Davis,"Sacramento-Roseville-Folsom, CA",Yolo County
84542,876,60506,zip,IL,IL,Aurora,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County
91264,876,76119,zip,TX,TX,Fort Worth,"Dallas-Fort Worth-Arlington, TX",Tarrant County
61934,878,10940,zip,NY,NY,Middletown,"Poughkeepsie-Newburgh-Middletown, NY",Orange County
69385,879,27526,zip,NC,NC,Fuquay Varina,"Raleigh-Cary, NC",Wake County
93119,880,79907,zip,TX,TX,El Paso,"El Paso, TX",El Paso County
72220,881,32792,zip,FL,FL,Winter Park,"Orlando-Kissimmee-Sanford, FL",Orange County
69210,882,27107,zip,NC,NC,Winston-Salem,"Winston-Salem, NC",Forsyth County
71169,883,30519,zip,GA,GA,Buford,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County
95827,884,89131,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County
97992,885,95124,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County
98861,886,96720,zip,HI,HI,Hilo,"Hilo, HI",Hawaii County
98926,887,96792,zip,HI,HI,Waianae,"Urban Honolulu, HI",Honolulu County
72477,888,33175,zip,FL,FL,Tamiami,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County
99563,889,98103,zip,WA,WA,Seattle,"Seattle-Tacoma-Bellevue, WA",King County
75755,890,40601,zip,KY,KY,Frankfort,"Frankfort, KY",Franklin County
72538,891,33319,zip,FL,FL,Tamarac,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County
66664,892,20850,zip,MD,MD,Rockville,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County
98849,893,96707,zip,HI,HI,Kapolei,"Urban Honolulu, HI",Honolulu County
61801,894,10461,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County
84647,895,60649,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County
94715,896,84790,zip,UT,UT,Saint George,"St. George, UT",Washington County
99676,897,98270,zip,WA,WA,Marysville,"Seattle-Tacoma-Bellevue, WA",Snohomish County
97005,898,92705,zip,CA,CA,North Tustin,"Los Angeles-Long Beach-Anaheim, CA",Orange County
97001,899,92701,zip,CA,CA,Santa Ana,"Los Angeles-Long Beach-Anaheim, CA",Orange County
